log_element_num,element_size,buildT (s),transfer_bytes (B)
6,32,1.83946e-05,130
6,64,2.1789e-05,194
6,256,3.06478e-05,578
6,1024,4.41361e-05,2114
6,4096,0.000128075,8258
8,32,1.18142e-05,166
8,64,1.50817e-05,230
8,256,3.72143e-05,614
8,1024,0.000124286,2150
8,4096,0.00047424,8294
10,32,2.78504e-05,238
10,64,4.20752e-05,302
10,256,0.000126691,686
10,1024,0.000491665,2222
10,4096,0.00186003,8366
12,32,7.5814e-05,310
12,64,0.000132974,374
12,256,0.000468283,758
12,1024,0.00187096,2294
12,4096,0.00746011,8438
14,32,0.000274991,382
14,64,0.00050181,446
14,256,0.00186078,830
14,1024,0.00792419,2366
14,4096,0.0312128,8510
16,32,0.00106563,454
16,64,0.00195162,518
16,256,0.00744762,902
16,1024,0.0385771,2438
16,4096,0.128585,8582
18,32,0.00420768,526
18,64,0.00787662,590
18,256,0.0304116,974
18,1024,0.15383,2510
18,4096,0.505312,8654
20,32,0.0169525,598
20,64,0.0318535,662
20,256,0.122389,1046
20,1024,0.612352,2582
20,4096,2.04975,8726
